branch,category,seatpool,oprank,closerank
"Electrical Engineering with M.Tech. in any of the listed specializations(5 year, Bachelor
and Master of Technology (Dual Degree), Engineering)",OBC-NCL,Gender-Neutral,543,820
"Electrical Engineering with M.Tech. in any of the listed specializations(5 year, Bachelor
and Master of Technology (Dual Degree), Engineering)",SC,Gender-Neutral,410,476
"Electrical Engineering with M.Tech. in any of the listed specializations(5 year, Bachelor
and Master of Technology (Dual Degree), Engineering)",ST,Gender-Neutral,202,299
"Electrical Engineering with M.Tech. in any of the listed specializations(5 year, Bachelor
and Master of Technology (Dual Degree), Engineering)",General,Female-Only,4249,4253
"Electrical Engineering with M.Tech. in any of the listed specializations(5 year, Bachelor
and Master of Technology (Dual Degree), Engineering)",OBC-NCL,Female-Only,1846,1846
"Electrical Engineering with M.Tech. in any of the listed specializations(5 year, Bachelor
and Master of Technology (Dual Degree), Engineering)",SC,Female-Only,728,728
"Electrical Engineering with M.Tech. in any of the listed specializations(5 year, Bachelor
and Master of Technology (Dual Degree), Engineering)",ST,Female-Only,1156,1156
"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed
specializations(5 year, Bachelor and Master of Technology (Dual Degree), Engineering)",General,Gender-Neutral,885,1382
"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed
specializations(5 year, Bachelor and Master of Technology (Dual Degree), Engineering)",General PwD,Gender-Neutral,115,115
"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed
specializations(5 year, Bachelor and Master of Technology (Dual Degree), Engineering)",EWS,Gender-Neutral,99,99
"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed
specializations(5 year, Bachelor and Master of Technology (Dual Degree), Engineering)",OBC-NCL,Gender-Neutral,420,627
"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed
specializations(5 year, Bachelor and Master of Technology (Dual Degree), Engineering)",OBC-NCL(PwD),Gender-Neutral,38P,38P
"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed
specializations(5 year, Bachelor and Master of Technology (Dual Degree), Engineering)",SC,Gender-Neutral,153,384
"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed
specializations(5 year, Bachelor and Master of Technology (Dual Degree), Engineering)",SC PwD,Gender-Neutral,8P,8P
"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed
specializations(5 year, Bachelor and Master of Technology (Dual Degree), Engineering)",ST,Gender-Neutral,249,359
"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed
specializations(5 year, Bachelor and Master of Technology (Dual Degree), Engineering)",General,Female-Only,2847,3767
"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed
specializations(5 year, Bachelor and Master of Technology (Dual Degree), Engineering)",OBC-NCL,Female-Only,1269,1683
"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed
specializations(5 year, Bachelor and Master of Technology (Dual Degree), Engineering)",SC,Female-Only,889,889
"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed
specializations(5 year, Bachelor and Master of Technology (Dual Degree), Engineering)",ST,Female-Only,688,688
"Mechanical Engineering with M.Tech. in any of the listed specializations(5 year,
Bachelor and Master of Technology (Dual Degree), Engineering)",General,Gender-Neutral,2148,2623
"Mechanical Engineering with M.Tech. in any of the listed specializations(5 year,
Bachelor and Master of Technology (Dual Degree), Engineering)",General PwD,Gender-Neutral,137P,137P
"Mechanical Engineering with M.Tech. in any of the listed specializations(5 year,
Bachelor and Master of Technology (Dual Degree), Engineering)",EWS,Gender-Neutral,194,246
"Mechanical Engineering with M.Tech. in any of the listed specializations(5 year,
Bachelor and Master of Technology (Dual Degree), Engineering)",OBC-NCL,Gender-Neutral,946,1201
"Mechanical Engineering with M.Tech. in any of the listed specializations(5 year,
Bachelor and Master of Technology (Dual Degree), Engineering)",SC,Gender-Neutral,318,690
