branch,seatpool,oprank,closerank,category
"Industrial Design (4 Years, Bachelor of Technology)",Gender-Neutral,17704,21063,OBC-NCL
"Industrial Design (4 Years, Bachelor of Technology)",Female-Only,28910,28910,OBC-NCL
"Industrial Design (4 Years, Bachelor of Technology)",Gender-Neutral,5756,5756,GEN-EWS
"Industrial Design (4 Years, Bachelor of Technology)",Gender-Neutral,32750,39099,OPEN
"Industrial Design (4 Years, Bachelor of Technology)",Female-Only,39993,43617,OPEN
"Industrial Design (4 Years, Bachelor of Technology)",Gender-Neutral,1857,1857,OPEN (PwD)
"Industrial Design (4 Years, Bachelor of Technology)",Gender-Neutral,7471,8661,SC
"Industrial Design (4 Years, Bachelor of Technology)",Gender-Neutral,4250,4250,ST
"Industrial Design (4 Years, Bachelor of Technology)",Gender-Neutral,5904,8035,OBC-NCL
"Industrial Design (4 Years, Bachelor of Technology)",Female-Only,11747,11747,OBC-NCL
"Industrial Design (4 Years, Bachelor of Technology)",Gender-Neutral,3725,3725,GEN-EWS
"Industrial Design (4 Years, Bachelor of Technology)",Gender-Neutral,14940,23626,OPEN
"Industrial Design (4 Years, Bachelor of Technology)",Female-Only,26396,28015,OPEN
"Industrial Design (4 Years, Bachelor of Technology)",Gender-Neutral,1990,4551,SC
"Industrial Design (4 Years, Bachelor of Technology)",Gender-Neutral,2152,2152,ST
"Food Process Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,19531,25201,OBC-NCL
"Food Process Engineering (4 Years, Bachelor of Technology)",Female-Only,27196,27196,OBC-NCL
"Food Process Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,6648,6648,GEN-EWS
"Food Process Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,43241,48589,OPEN
"Food Process Engineering (4 Years, Bachelor of Technology)",Female-Only,49381,49381,OPEN
"Food Process Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,7694,7870,SC
"Food Process Engineering (4 Years, Bachelor of Technology)",Female-Only,9441,9441,SC
"Food Process Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,5513,5513,ST
"Food Process Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,9157,9973,OBC-NCL
"Food Process Engineering (4 Years, Bachelor of Technology)",Female-Only,13270,13270,OBC-NCL
"Food Process Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4003,4003,GEN-EWS
"Food Process Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,25573,30742,OPEN
"Food Process Engineering (4 Years, Bachelor of Technology)",Female-Only,27711,27711,OPEN
"Food Process Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,355,355,OPEN (PwD)
"Food Process Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,4136,6596,SC
"Food Process Engineering (4 Years, Bachelor of Technology)",Female-Only,7137,7137,SC
"Food Process Engineering (4 Years, Bachelor of Technology)",Gender-Neutral,1805,1805,ST
"Architecture (5 Years, Bachelor of Architecture)",Gender-Neutral,792,1065,OBC-NCL
"Architecture (5 Years, Bachelor of Architecture)",Gender-Neutral,559,559,GEN-EWS
"Architecture (5 Years, Bachelor of Architecture)",Gender-Neutral,1717,2643,OPEN
"Architecture (5 Years, Bachelor of Architecture)",Gender-Neutral,13,13,OPEN (PwD)
"Architecture (5 Years, Bachelor of Architecture)",Gender-Neutral,503,776,SC
"Architecture (5 Years, Bachelor of Architecture)",Gender-Neutral,128,128,ST
"Architecture (5 Years, Bachelor of Architecture)",Gender-Neutral,535,721,OBC-NCL
"Architecture (5 Years, Bachelor of Architecture)",Gender-Neutral,229,229,GEN-EWS
"Architecture (5 Years, Bachelor of Architecture)",Gender-Neutral,861,1566,OPEN
"Architecture (5 Years, Bachelor of Architecture)",Gender-Neutral,45,148,SC
"Architecture (5 Years, Bachelor of Architecture)",Gender-Neutral,89,89,ST
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,15656,16064,OBC-NCL
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,28637,32098,OPEN
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,6533,6533,SC
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,3363,3363,ST
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,4445,4445,OBC-NCL
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,2916,2916,GEN-EWS
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,16184,18367,OPEN
"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Gender-Neutral,2575,2575,SC
